id,date,time,city,platform,content_type,media_file,headline,subtext,caption_file,extra,status,posted_at
1,2026-07-14,11:00,Munich,facebook,countdown,GENERATE,{days_left} DAYS TO GO,Apexa Pandya Live · Sharad Purnima,countdown.txt,,pending,
2,2026-07-18,11:00,Munich,facebook,artist,artist_photo.jpg,,,artist_spotlight.txt,,pending,
3,2026-07-22,11:00,Munich,facebook,venue,venue_photo.jpg,,,venue_reveal.txt,,pending,
4,2026-07-26,11:00,Munich,facebook,food_stall,GENERATE,FOOD & FEAST,"Chaat, thali, chai & more all night",food_stalls.txt,,pending,
5,2026-07-30,11:00,Munich,facebook,countdown,GENERATE,{days_left} DAYS TO GO,Apexa Pandya Live · Sharad Purnima,countdown.txt,,pending,
6,2026-08-01,10:00,Munich,facebook,early_bird,GENERATE,EARLY BIRD IS LIVE,Lowest price · limited tickets,early_bird_live.txt,,pending,
7,2026-08-03,18:00,Zurich,facebook,early_bird,GENERATE,EARLY BIRD IS LIVE,Grab launch price before it's gone,early_bird_live.txt,,pending,
8,2026-08-05,12:00,,facebook,sponsorship_open,GENERATE,PARTNER WITH US,Sponsor & stall slots now open,sponsorship_open.txt,,pending,
9,2026-08-06,17:00,Nuremberg,facebook,selling_fast,GENERATE,SELLING FAST,Early bird going quickly,selling_fast.txt,,pending,
10,2026-08-10,18:00,Augsburg,facebook,selling_fast,GENERATE,50% GONE,Early bird nearly half sold,selling_fast.txt,,pending,
11,2026-08-19,12:00,,facebook,sponsorship_open,GENERATE,BE SEEN BY 5000+,Sponsor Europe's biggest Garba,sponsorship_open.txt,,pending,
12,2026-09-02,12:00,,facebook,sponsor_spotlight,GENERATE,PROUD SPONSOR,{sponsor_name} joins the celebration,sponsor_spotlight.txt,sponsor_name=Your Sponsor,pending,
13,2026-09-10,18:00,Munich,facebook,selling_fast,GENERATE,5 DAYS LEFT,Early bird closes soon,early_bird_deadline.txt,,pending,
14,2026-09-13,18:00,Munich,facebook,countdown,GENERATE,{days_left} DAYS TO GO,One night. A million memories.,countdown.txt,,pending,
15,2026-09-14,18:00,Zurich,facebook,selling_fast,GENERATE,LAST CHANCE,Early bird ends tomorrow,early_bird_deadline.txt,,pending,
16,2026-09-15,20:00,Munich,facebook,selling_fast,GENERATE,EARLY BIRD ENDS TONIGHT,Final hours at this price,early_bird_deadline.txt,,pending,
17,2026-09-27,18:00,Zurich,facebook,countdown,GENERATE,{days_left} DAYS TO GO,One night. A million memories.,countdown.txt,,pending,
18,2026-10-04,18:00,Nuremberg,facebook,countdown,GENERATE,{days_left} DAYS TO GO,One night. A million memories.,countdown.txt,,pending,
19,2026-10-11,18:00,Augsburg,facebook,countdown,GENERATE,{days_left} DAYS TO GO,One night. A million memories.,countdown.txt,,pending,
20,2026-10-18,18:00,Munich,facebook,countdown,GENERATE,{days_left} DAYS TO GO,One night. A million memories.,countdown.txt,,pending,
